1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
307	1.783675	42.513623	0.165936	0.080351	1.6
308	1.675758	42.480039	0.166024	0.114364	1.4
309	1.797223	42.245668	0.166639	0.096739	1.4
310	1.715509	42.699634	0.165451	0.086429	1.4
311	2.041537	42.734183	0.165362	0.255510	1.5
312	1.586466	42.823035	0.165131	0.106573	1.4
313	1.977270	43.820070	0.162591	0.194337	1.5
314	1.870050	44.560892	0.160754	0.087987	1.5
315	1.963662	45.199528	0.159203	0.205323	2.3
316	2.010965	45.926074	0.157475	0.215079	1.8
317	1.706986	46.926050	0.155157	0.243713	1.4
318	2.124407	46.649152	0.155792	0.110052	1.4
319	1.650522	46.586155	0.155937	0.219058	1.4
320	2.223648	46.313356	0.156569	0.061357	1.4
321	1.703502	46.067858	0.157142	0.092472	1.6
322	2.037059	46.031795	0.157227	0.098445	1.4
323	1.703574	46.426698	0.156306	0.077630	1.4
324	1.945798	46.303626	0.156592	0.070767	1.4
325	1.800203	46.589648	0.155929	0.041089	1.5
326	1.803797	46.681196	0.155718	0.133488	1.5
327	1.994227	46.547583	0.156026	0.138318	1.4
328	1.622111	46.276068	0.156656	0.140860	1.4
329	1.914396	47.127685	0.154698	0.161184	1.6
330	1.737509	46.862602	0.155302	0.150274	1.4
331	1.898200	46.633090	0.155829	0.111497	1.4
332	1.946021	46.967079	0.155063	0.195783	1.5
333	2.004171	47.858895	0.153055	0.155335	1.5
334	1.931520	48.852486	0.150878	0.127200	1.5
335	1.958320	48.579687	0.151469	0.171676	2.1
336	1.780220	49.546606	0.149393	0.060476	1.5
337	1.951638	49.300392	0.149917	0.180957	1.4
338	1.809377	49.168082	0.150199	0.096629	1.4
339	1.719253	49.199696	0.150132	0.067644	1.5
340	1.678669	49.009931	0.150539	0.116071	1.4
341	1.605533	49.068914	0.150412	0.078528	1.4
342	1.756327	48.874700	0.150830	0.143874	1.4
343	2.024981	49.310421	0.149895	0.116234	1.6
344	1.816331	49.039455	0.150475	0.097239	1.8
345	1.854829	48.837547	0.150910	0.076764	2.3
346	1.672523	49.264281	0.149994	0.119410	2.4
347	1.913731	49.064046	0.150422	0.116673	2.0
348	1.887444	48.852443	0.150878	0.140372	2.5
349	1.934181	49.211592	0.150106	0.155055	2.0
350	1.817688	49.042048	0.150469	0.051283	2.1
351	1.774023	48.848922	0.150886	0.090243	2.5
352	1.837660	48.703150	0.151201	0.070107	1.5
353	1.500710	48.611303	0.151401	0.106741	1.5
354	2.426932	48.445356	0.151762	0.160051	1.8
355	1.920197	48.176678	0.152352	0.053293	2.1
356	1.874576	48.807588	0.150975	0.115172	1.7
357	1.864175	49.203205	0.150124	0.070335	1.5
358	1.825791	49.149119	0.150240	0.084848	1.4
359	1.803515	49.266071	0.149990	0.057377	1.4
360	1.925586	49.346676	0.149818	0.126188	1.7
361	1.633438	49.231293	0.150064	0.059695	1.5
362	2.209489	49.101933	0.150341	0.132764	1.4
363	1.940925	49.140156	0.150259	0.190947	1.4
364	2.028255	48.866201	0.150848	0.138261	1.7
365	1.999791	49.831474	0.148792	0.077656	1.4
366	1.601149	50.107159	0.148216	0.073968	1.4
367	2.068303	50.330065	0.147752	0.059870	1.4
368	1.658415	50.483679	0.147435	0.054882	1.5
369	1.710820	50.554794	0.147288	0.138303	1.4
370	1.894385	50.392863	0.147622	0.073341	1.4
371	1.830185	50.356030	0.147699	0.140599	1.4
372	1.714577	50.597767	0.147200	0.136371	1.5
373	1.564898	51.506541	0.145355	0.082459	1.4
374	1.792997	51.409405	0.145550	0.095112	1.4
375	1.870644	51.421491	0.145526	0.156273	1.4
376	1.773272	52.200359	0.143977	0.060826	1.6
377	1.750324	52.839595	0.142731	0.176533	1.5
378	1.846941	53.545805	0.141379	0.082823	1.5
379	1.617414	54.212469	0.140126	0.083904	1.5
380	1.656575	54.285057	0.139990	0.142429	1.5
381	1.578930	54.751434	0.139129	0.187633	1.4
382	1.700026	54.478125	0.139632	0.128983	1.4
383	1.673183	55.471333	0.137819	0.076007	1.5
384	1.883537	55.346208	0.138045	0.116522	1.4
385	1.749558	55.175058	0.138355	0.119532	1.4
386	2.287355	55.292986	0.138141	0.073054	1.4
387	2.002762	55.461343	0.137837	0.091353	1.8
388	1.561802	55.257844	0.138205	0.118870	1.4
389	1.908614	55.957711	0.136948	0.077296	1.4
390	2.292919	56.106120	0.136684	0.309950	1.4
391	1.940785	55.872268	0.137100	0.067021	2.1
392	1.790154	56.055572	0.136774	0.060795	1.5
393	1.577332	55.932601	0.136993	0.080059	1.5
394	1.550917	56.046064	0.136791	0.155566	1.6
395	1.636662	56.212104	0.136497	0.074597	1.4
396	1.916590	56.060667	0.136765	0.101615	1.4
397	1.569337	56.134697	0.136634	0.087000	1.9
398	1.806488	55.908149	0.137036	0.168226	1.4
399	1.833203	56.620123	0.135779	0.146529	1.4
400	1.754491	56.343970	0.136264	0.138339	1.5
401	1.742517	56.468855	0.136044	0.123249	2.0
402	1.670237	56.927527	0.135244	0.105678	2.0
403	1.846492	56.819532	0.135431	0.078655	2.2
404	1.962216	57.078465	0.134982	0.084650	2.1
405	1.873783	56.997671	0.135122	0.078824	2.4
406	1.967858	57.427452	0.134381	0.174381	2.1
407	1.735129	57.808016	0.133732	0.126414	2.0
408	2.306416	58.289771	0.132920	0.090946	1.7
409	1.893491	59.055678	0.131648	0.079994	2.1
410	2.221158	59.164124	0.131470	0.188756	1.4
